Incident_ID,Incident_Date,State,City Or County,Address,Full Address,Latitude,Longitude,Killed,Injured,Operations,label_col
919431,08/21/17,Missouri,Kansas City,3611 Linwood Blvd,Missouri Kansas City 3611 Linwood Blvd,39.0669544,-94.5402834,0,0,School Incidents,Killed: 0 Injured:0
916339,08/19/17,New Mexico,Albuquerque,Stanford Dr,New Mexico Albuquerque Stanford Dr,35.0862366,-106.6173095,0,0,School Incidents,Killed: 0 Injured:0
918865,08/18/17,Florida,Hilliard,1 Flashes Ave,Florida Hilliard 1 Flashes Ave,30.6879794,-81.9265142,0,0,School Incidents,Killed: 0 Injured:0
916292,08/18/17,Florida,Largo,6305 118th Ave N,Florida Largo 6305 118th Ave N,27.8807714,-82.7225751,0,0,School Incidents,Killed: 0 Injured:0
915285,08/17/17,Kentucky,Ft Mitchell (Edgewood),3230 Turkeyfoot Rd,Kentucky Ft Mitchell (Edgewood) 3230 Turkeyfoot Rd,39.0134378,-84.581266,0,0,School Incidents,Killed: 0 Injured:0
915036,08/17/17,Georgia,Lithia Springs,2520 E County Line Rd,Georgia Lithia Springs 2520 E County Line Rd,33.7558054,-84.6577207,0,1,School Incidents,Killed: 0 Injured:1
915522,08/17/17,Tennessee,Nashville,904 26th Ave N,Tennessee Nashville 904 26th Ave N,36.16416,-86.8147379,0,0,School Incidents,Killed: 0 Injured:0
915250,08/16/17,California,Van Nuys,5435 Vesper Ave,California Van Nuys 5435 Vesper Ave,34.168759,-118.4522239,0,0,School Incidents,Killed: 0 Injured:0
914569,08/16/17,Louisiana,Lafayette,721 W Butcher Switch Rd,Louisiana Lafayette 721 W Butcher Switch Rd,30.2861146,-92.0404337,0,0,School Incidents,Killed: 0 Injured:0
915149,08/15/17,New Mexico,Las Cruces,5700 Mesa Grande Dr,New Mexico Las Cruces 5700 Mesa Grande Dr,32.3819543,-106.7153554,0,0,School Incidents,Killed: 0 Injured:0
915086,08/14/17,Georgia,Dallas,3320 E Paulding Dr,Georgia Dallas 3320 E Paulding Dr,33.939172,-84.745683,0,0,School Incidents,Killed: 0 Injured:0
914871,08/14/17,Tennessee,Greeneville,E Church St,Tennessee Greeneville E Church St,36.1599535,-82.8144771,0,0,School Incidents,Killed: 0 Injured:0
911113,08/11/17,Alabama,Montgomery,4405 Brewbaker Dr,Alabama Montgomery 4405 Brewbaker Dr,32.3236754,-86.2196669,0,0,School Incidents,Killed: 0 Injured:0
911380,08/09/17,Tennessee,Nashville,3812 Hillsboro Pike,Tennessee Nashville 3812 Hillsboro Pike,36.1069003,-86.8106578,0,0,School Incidents,Killed: 0 Injured:0
910059,08/08/17,Tennessee,Memphis,3467 Castleman St,Tennessee Memphis 3467 Castleman St,35.0540801,-89.8918807,0,0,School Incidents,Killed: 0 Injured:0
911551,08/08/17,Tennessee,Maryville,3741 E Lamar Alexander Pkwy,Tennessee Maryville 3741 E Lamar Alexander Pkwy,35.760418,-83.8648911,0,0,School Incidents,Killed: 0 Injured:0
911903,08/04/17,Florida,Okeechobee,826 NE 16th Ave,Florida Okeechobee 826 NE 16th Ave,27.250463,-80.81263,0,0,School Incidents,Killed: 0 Injured:0
899275,07/26/17,Arkansas,Jonesboro,3901 Aggie Rd,Arkansas Jonesboro 3901 Aggie Rd,35.8454016,-90.6527765,0,0,School Incidents,Killed: 0 Injured:0
898014,07/25/17,Georgia,Kennesaw,125 Marietta Dr,Georgia Kennesaw 125 Marietta Dr,34.0331264,-84.5834631,0,0,School Incidents,Killed: 0 Injured:0
896779,07/23/17,Arizona,Tucson,202 W Anklam Rd,Arizona Tucson 202 W Anklam Rd,32.2249227,-111.0281258,0,1,School Incidents,Killed: 0 Injured:1
890785,07/14/17,Kansas,Wichita,1845 Fairmount St,Kansas Wichita 1845 Fairmount St,37.7164839,-97.29597,0,0,School Incidents,Killed: 0 Injured:0
889466,07/13/17,Florida,Gainesville,1600 SW Archer,Florida Gainesville 1600 SW Archer,29.6399529,-82.3426742,0,0,School Incidents,Killed: 0 Injured:0
889361,07/13/17,Nevada,Las Vegas,Harmon and Swenson,Nevada Las Vegas Harmon and Swenson,36.1081697,-115.2055202,0,0,School Incidents,Killed: 0 Injured:0
888728,07/12/17,Virginia,Charlottesville,Emmet St S,Virginia Charlottesville Emmet St S,38.0356844,-78.5081292,0,0,School Incidents,Killed: 0 Injured:0
888794,07/11/17,Maryland,Baltimore,1700 E Cold Spring Ln,Maryland Baltimore 1700 E Cold Spring Ln,39.3431675,-76.5844438,0,0,School Incidents,Killed: 0 Injured:0
879583,06/29/17,California,Goleta (Isla Vista),Parking Structure 22,California Goleta (Isla Vista) Parking Structure 22,34.4135938,-119.8526153,1,0,School Incidents,Killed: 1 Injured:0
877243,06/27/17,New York,Brooklyn,183 South 3rd St,New York Brooklyn 183 South 3rd St,40.7117745,-73.9596149,0,0,School Incidents,Killed: 0 Injured:0
876441,06/26/17,Colorado,Denver,5440 Scranton St,Colorado Denver 5440 Scranton St,39.7932581,-104.8419961,0,0,School Incidents,Killed: 0 Injured:0
874412,06/23/17,Washington,Tacoma,3300 N 11th St,Washington Tacoma 3300 N 11th St,47.2599181,-122.4794197,0,1,School Incidents,Killed: 0 Injured:1
873615,06/22/17,Missouri,Springfield,1333 S Grant Ave,Missouri Springfield 1333 S Grant Ave,37.1900189,-93.3015569,0,1,School Incidents,Killed: 0 Injured:1
877913,06/22/17,California,Calexico,1030 Encinas Ave,California Calexico 1030 Encinas Ave,32.6770154,-115.4874223,0,0,School Incidents,Killed: 0 Injured:0
873392,06/22/17,South Carolina,Florence,1411 E Old Marion Hwy,South Carolina Florence 1411 E Old Marion Hwy,34.2204742,-79.7319376,0,1,School Incidents,Killed: 0 Injured:1
874500,06/21/17,Ohio,Cleveland,Thornhill Dr and Arlington Rd,Ohio Cleveland Thornhill Dr and Arlington Rd,41.5313966,-81.597309,0,0,School Incidents,Killed: 0 Injured:0
870958,06/19/17,California,Chula Vista,900 Otay Lakes Rd,California Chula Vista 900 Otay Lakes Rd,32.6407202,-116.998059,0,0,School Incidents,Killed: 0 Injured:0
916078,06/16/17,Florida,West Palm Beach,2222 Spruce Ave,Florida West Palm Beach 2222 Spruce Ave,26.733782,-80.05395,0,0,School Incidents,Killed: 0 Injured:0
868704,06/16/17,Illinois,Chicago,9239 S Jeffery Ave,Illinois Chicago 9239 S Jeffery Ave,41.7268479,-87.5751922,0,2,School Incidents,Killed: 0 Injured:2
868613,06/15/17,California,San Diego,1051 Picador Blvd,California San Diego 1051 Picador Blvd,32.5783439,-117.0544455,0,0,School Incidents,Killed: 0 Injured:0
887387,06/14/17,Illinois,Quincy,3211 Payson Rd,Illinois Quincy 3211 Payson Rd,39.897891,-91.363676,0,0,School Incidents,Killed: 0 Injured:0
862712,06/08/17,New Jersey,Newark,663 Broadway,New Jersey Newark 663 Broadway,40.7723668,-74.1606039,0,0,School Incidents,Killed: 0 Injured:0
863675,06/08/17,Massachusetts,Boston,238 St Botolph St,Massachusetts Boston 238 St Botolph St,42.3415302,-71.0843298,0,0,School Incidents,Killed: 0 Injured:0
861257,06/06/17,Wisconsin,Milwaukee (Whitefish Bay),1200 E Fairmount Ave,Wisconsin Milwaukee (Whitefish Bay) 1200 E Fairmount Ave,43.108423,-87.8961617,0,0,School Incidents,Killed: 0 Injured:0
860737,06/06/17,New York,Baldwin,940 Stanton Ave,New York Baldwin 940 Stanton Ave,40.6691355,-73.6040308,0,0,School Incidents,Killed: 0 Injured:0
860385,06/05/17,Indiana,Fort Wayne,4530 Lahmeyer Rd,Indiana Fort Wayne 4530 Lahmeyer Rd,41.1216724,-85.0460538,1,2,School Incidents,Killed: 1 Injured:2
859457,06/02/17,Florida,Gainesville,Museum Rd and Reitz Union Dr,Florida Gainesville Museum Rd and Reitz Union Dr,29.6448399,-82.3485973,0,0,School Incidents,Killed: 0 Injured:0
858614,06/02/17,California,Vallejo,1800 Ascot Pkwy,California Vallejo 1800 Ascot Pkwy,38.1205707,-122.2029699,0,0,School Incidents,Killed: 0 Injured:0
857476,06/01/17,California,Soquel,401 Soquel San Jose Rd,California Soquel 401 Soquel San Jose Rd,36.9931769,-121.9572586,0,0,School Incidents,Killed: 0 Injured:0
857785,05/31/17,Michigan,Sanford,3303 N Meridian Rd,Michigan Sanford 3303 N Meridian Rd,43.7070766,-84.3697752,0,0,School Incidents,Killed: 0 Injured:0
856546,05/30/17,California,Stockton,9434 Thornton Rd,California Stockton 9434 Thornton Rd,38.0362216,-121.3389509,0,0,School Incidents,Killed: 0 Injured:0
858173,05/30/17,North Carolina,Fayetteville,277 Bonanza Dr,North Carolina Fayetteville 277 Bonanza Dr,35.0837627,-78.9909469,0,0,School Incidents,Killed: 0 Injured:0
857986,05/30/17,South Carolina,North Charleston,3625 Ashley Phosphate Rd,South Carolina North Charleston 3625 Ashley Phosphate Rd,32.9195591,-80.0786141,0,0,School Incidents,Killed: 0 Injured:0
857215,05/26/17,Florida,Green Cove Springs,2945 Co Rd,Florida Green Cove Springs 2945 Co Rd,29.9919085,-81.6781467,0,0,School Incidents,Killed: 0 Injured:0
852543,05/26/17,South Carolina,Rock Hill,1234 Flint Street Ext,South Carolina Rock Hill 1234 Flint Street Ext,34.908466,-81.033996,0,0,School Incidents,Killed: 0 Injured:0
851780,05/25/17,New York,Brooklyn,1601 80th St,New York Brooklyn 1601 80th St,40.6130029,-74.0022855,0,0,School Incidents,Killed: 0 Injured:0
859028,05/24/17,Indiana,Indianapolis,4825 N Arlington Ave,Indiana Indianapolis 4825 N Arlington Ave,39.8435354,-86.0633154,0,0,School Incidents,Killed: 0 Injured:0
851333,05/24/17,Alabama,Greensboro,1221 Baptist Hill Road,Alabama Greensboro 1221 Baptist Hill Road,32.7079616,-87.5882996,0,0,School Incidents,Killed: 0 Injured:0
852120,05/24/17,Georgia,Douglasville,3490 Ridge Rd,Georgia Douglasville 3490 Ridge Rd,33.8040588,-84.8305619,0,0,School Incidents,Killed: 0 Injured:0
857171,05/23/17,Michigan,Jerome,3303 N. Meridian Road,Michigan Jerome 3303 N. Meridian Road,43.7070766,-84.3697752,0,0,School Incidents,Killed: 0 Injured:0
851828,05/23/17,Nevada,Las Vegas,150 W Deer Springs Way,Nevada Las Vegas 150 W Deer Springs Way,36.2847265,-115.1416693,0,0,School Incidents,Killed: 0 Injured:0
850305,05/23/17,Virginia,Mechanicsville,7052 Mechanicsville Turnpike,Virginia Mechanicsville 7052 Mechanicsville Turnpike,37.6138152,-77.3405186,0,0,School Incidents,Killed: 0 Injured:0
850539,05/23/17,Texas,Kirbyville,100 E Wildcat Dr,Texas Kirbyville 100 E Wildcat Dr,30.658698,-93.8939722,1,0,School Incidents,Killed: 1 Injured:0
851200,05/22/17,North Carolina,Charlotte,3825 Johnston Oehler Rd,North Carolina Charlotte 3825 Johnston Oehler Rd,35.3641729,-80.7689231,0,0,School Incidents,Killed: 0 Injured:0
849833,05/22/17,South Carolina,Aiken,449 Rutland Dr,South Carolina Aiken 449 Rutland Dr,33.5776229,-81.7122825,0,0,School Incidents,Killed: 0 Injured:0
847643,05/20/17,Texas,Coupland,400 block of Herrin Street,Texas Coupland 400 block of Herrin Street,30.461088,-97.3936862,0,0,School Incidents,Killed: 0 Injured:0
847208,05/19/17,Alabama,Mobile,1567 E Dublin St,Alabama Mobile 1567 E Dublin St,30.6693166,-88.073687,0,0,School Incidents,Killed: 0 Injured:0
848094,05/18/17,Kentucky,Lexington,Maxwell St,Kentucky Lexington Maxwell St,38.0471519,-84.505506,0,0,School Incidents,Killed: 0 Injured:0
846679,05/18/17,Florida,Coral Springs,10600 Riverside Dr,Florida Coral Springs 10600 Riverside Dr,26.2323072,-80.268546,0,0,School Incidents,Killed: 0 Injured:0
846959,05/17/17,Texas,Austin,5600 Sunshine Drive,Texas Austin 5600 Sunshine Drive,30.3274839,-97.7288676,0,0,School Incidents,Killed: 0 Injured:0
847463,05/17/17,California,Fontana,15172 Walnut St,California Fontana 15172 Walnut St,34.1293641,-117.4748285,0,0,School Incidents,Killed: 0 Injured:0
845855,05/17/17,Tennessee,Nashville,1150 Hunters Ln,Tennessee Nashville 1150 Hunters Ln,36.2792995,-86.7527941,0,0,School Incidents,Killed: 0 Injured:0
845730,05/17/17,Missouri,Saint Louis (Affton),11011 Gravois Rd,Missouri Saint Louis (Affton) 11011 Gravois Rd,38.5426309,-90.3651998,0,0,School Incidents,Killed: 0 Injured:0
872311,05/17/17,California,Springville,41569 block of Bear Creek Dr,California Springville 41569 block of Bear Creek Dr,36.778261,-119.4179324,0,0,School Incidents,Killed: 0 Injured:0
844988,05/16/17,Texas,Longview,1504 S Martin Luther King Jr Blvd,Texas Longview 1504 S Martin Luther King Jr Blvd,32.4741707,-94.7146582,0,0,School Incidents,Killed: 0 Injured:0
844235,05/15/17,Illinois,Chicago (Englewood),6301 S Halsted St,Illinois Chicago (Englewood) 6301 S Halsted St,41.7782295,-87.6439306,0,0,School Incidents,Killed: 0 Injured:0
846070,05/15/17,Arizona,Maricopa,45012 W Honeycutt Ave,Arizona Maricopa 45012 W Honeycutt Ave,33.0539413,-112.0515731,0,0,School Incidents,Killed: 0 Injured:0
843796,05/15/17,Louisiana,Lake Charles (Moss Bluff),215 School St,Louisiana Lake Charles (Moss Bluff) 215 School St,30.2999372,-93.2032915,0,1,School Incidents,Killed: 0 Injured:1
842308,05/12/17,Texas,Midland,2700 FM 1379,Texas Midland 2700 FM 1379,32.0220959,-101.8978831,0,0,School Incidents,Killed: 0 Injured:0
842513,05/12/17,Georgia,Flintstone,847 Allgood Rd,Georgia Flintstone 847 Allgood Rd,34.9299885,-85.3576286,0,0,School Incidents,Killed: 0 Injured:0
842071,05/12/17,Ohio,Grove City,7255 Kropp Rd,Ohio Grove City 7255 Kropp Rd,39.8746793,-83.1851638,0,0,School Incidents,Killed: 0 Injured:0
842195,05/11/17,West Virginia,Clarksburg (Stonewood),208 Kidd Ave,West Virginia Clarksburg (Stonewood) 208 Kidd Ave,39.2501037,-80.3162185,0,0,School Incidents,Killed: 0 Injured:0
841551,05/10/17,Pennsylvania,Alverton,1431 Water St,Pennsylvania Alverton 1431 Water St,40.1359059,-79.5931328,0,0,School Incidents,Killed: 0 Injured:0
840097,05/10/17,Texas,Waller,20950 Field Store Rd,Texas Waller 20950 Field Store Rd,30.0789223,-95.9208682,0,0,School Incidents,Killed: 0 Injured:0
840305,05/09/17,North Carolina,Charlotte,15321 York Rd,North Carolina Charlotte 15321 York Rd,35.0934205,-81.0260352,0,0,School Incidents,Killed: 0 Injured:0
840243,05/09/17,Missouri,Maryland Heights,2497 Creve Couer Mill Rd,Missouri Maryland Heights 2497 Creve Couer Mill Rd,38.741839,-90.4520058,0,0,School Incidents,Killed: 0 Injured:0
838823,05/08/17,New York,New Paltz,2 S Manheim Blvd,New York New Paltz 2 S Manheim Blvd,41.7458215,-74.0778608,0,0,School Incidents,Killed: 0 Injured:0
837555,05/06/17,California,San Diego,3710 Del Mar Heights Rd,California San Diego 3710 Del Mar Heights Rd,32.9574274,-117.2250268,1,0,School Incidents,Killed: 1 Injured:0
837203,05/05/17,Kentucky,Ashland,14375 Lions Ln,Kentucky Ashland 14375 Lions Ln,38.3732179,-82.7169441,0,0,School Incidents,Killed: 0 Injured:0
836973,05/05/17,Tennessee,Memphis,5157 N Circle Rd,Tennessee Memphis 5157 N Circle Rd,35.2651334,-90.042408,0,0,School Incidents,Killed: 0 Injured:0
842034,05/05/17,Georgia,Covington,1 Ram Way,Georgia Covington 1 Ram Way,33.5977665,-83.9263003,0,0,School Incidents,Killed: 0 Injured:0
838015,05/05/17,Tennessee,Memphis,1336 Peabody Ave,Tennessee Memphis 1336 Peabody Ave,35.1328811,-90.0170399,0,0,School Incidents,Killed: 0 Injured:0
836267,05/04/17,Tennessee,Memphis (Bartlett),5688 Woodlawn St,Tennessee Memphis (Bartlett) 5688 Woodlawn St,35.2085987,-89.8733139,0,0,School Incidents,Killed: 0 Injured:0
836072,05/04/17,Florida,Homestead,28401 SW 167th Ave,Florida Homestead 28401 SW 167th Ave,25.5013553,-80.4595953,0,0,School Incidents,Killed: 0 Injured:0
836580,05/04/17,Ohio,Toledo,301 Morrison Dr,Ohio Toledo 301 Morrison Dr,41.64934,-83.5175988,0,0,School Incidents,Killed: 0 Injured:0
837316,05/04/17,Indiana,Indianapolis,1301 W 73rd St,Indiana Indianapolis 1301 W 73rd St,39.8850471,-86.1820101,0,0,School Incidents,Killed: 0 Injured:0
834858,05/03/17,Texas,Irving,5001 North MacArthur Boulevard,Texas Irving 5001 North MacArthur Boulevard,32.8751647,-96.9626556,2,0,School Incidents,Killed: 2 Injured:0
835369,05/03/17,New York,Brooklyn,528 Ridgewood Ave,New York Brooklyn 528 Ridgewood Ave,40.6858609,-73.8693804,0,0,School Incidents,Killed: 0 Injured:0
835950,05/03/17,Florida,Daytona Beach (Holly Hill),560 Flomich St,Florida Daytona Beach (Holly Hill) 560 Flomich St,29.2527799,-81.0554094,0,0,School Incidents,Killed: 0 Injured:0
835862,05/03/17,Alabama,Monroeville,3010 AL-136,Alabama Monroeville 3010 AL-136,31.4321,-87.342291,0,0,School Incidents,Killed: 0 Injured:0
836512,05/03/17,Indiana,Elkhart,1013 Tipton St,Indiana Elkhart 1013 Tipton St,41.6780421,-85.9583469,0,0,School Incidents,Killed: 0 Injured:0
834488,05/02/17,Ohio,Lima,2770 E Breese Rd,Ohio Lima 2770 E Breese Rd,40.6869619,-84.05411,0,0,School Incidents,Killed: 0 Injured:0
835184,05/02/17,New York,Bronx,2280 Aqueduct Ave,New York Bronx 2280 Aqueduct Ave,40.8595656,-73.9062668,0,0,School Incidents,Killed: 0 Injured:0
833523,05/01/17,North Carolina,Durham,117 Tom Wilkinson Rd,North Carolina Durham 117 Tom Wilkinson Rd,36.0945614,-78.9121141,0,0,School Incidents,Killed: 0 Injured:0
833643,05/01/17,Tennessee,Nashville,2405 Emmett Avenue,Tennessee Nashville 2405 Emmett Avenue,36.1950561,-86.7477857,1,0,School Incidents,Killed: 1 Injured:0
833651,05/01/17,Missouri,Saint Charles (Weldon Spring),825 O'Fallon Rd,Missouri Saint Charles (Weldon Spring) 825 O'Fallon Rd,38.7197274,-90.6772305,0,0,School Incidents,Killed: 0 Injured:0
834337,05/01/17,South Carolina,Columbia,6949 St Andrews Rd,South Carolina Columbia 6949 St Andrews Rd,34.0729815,-81.1773249,0,0,School Incidents,Killed: 0 Injured:0
833234,05/01/17,Alabama,Montgomery,4017 McInnis Rd,Alabama Montgomery 4017 McInnis Rd,32.2940766,-86.2537138,0,0,School Incidents,Killed: 0 Injured:0
835875,05/01/17,Maryland,Kensington,11135 Newport Mill Rd,Maryland Kensington 11135 Newport Mill Rd,39.0394925,-77.0670596,0,0,School Incidents,Killed: 0 Injured:0
913502,05/01/17,Texas,High Island,2113 6th St,Texas High Island 2113 6th St,29.5631816,-94.3911278,0,0,School Incidents,Killed: 0 Injured:0
833495,05/01/17,New York,Staten Island,105 Hamilton Ave,New York Staten Island 105 Hamilton Ave,40.645061,-74.0819432,0,0,School Incidents,Killed: 0 Injured:0
842252,04/28/17,North Carolina,Erwin,215 Maynard Lake Rd,North Carolina Erwin 215 Maynard Lake Rd,35.3382634,-78.665226,0,0,School Incidents,Killed: 0 Injured:0
830660,04/28/17,Texas,Fort Worth (Benbrook),3600 Boston Ave,Texas Fort Worth (Benbrook) 3600 Boston Ave,32.718489,-97.4552419,0,0,School Incidents,Killed: 0 Injured:0
833100,04/28/17,North Carolina,Fayetteville,4533 Raeford Rd,North Carolina Fayetteville 4533 Raeford Rd,35.0417103,-78.9539255,0,0,School Incidents,Killed: 0 Injured:0
832092,04/28/17,Wisconsin,Milwaukee,5115 W Keefe Ave,Wisconsin Milwaukee 5115 W Keefe Ave,43.082308,-87.9777328,0,0,School Incidents,Killed: 0 Injured:0
833744,04/27/17,Virginia,Woodbridge,14051 Spriggs Rd,Virginia Woodbridge 14051 Spriggs Rd,38.650817,-77.3848373,0,0,School Incidents,Killed: 0 Injured:0
830080,04/27/17,Oklahoma,Oklahoma City (Midwest City),213 Elm St,Oklahoma Oklahoma City (Midwest City) 213 Elm St,35.4533036,-97.3982602,0,0,School Incidents,Killed: 0 Injured:0
830101,04/27/17,South Carolina,Greenville,160 Fairforest Way,South Carolina Greenville 160 Fairforest Way,34.8070241,-82.3372515,0,0,School Incidents,Killed: 0 Injured:0
830025,04/27/17,Florida,Lake Worth,1701 Lake Worth Rd,Florida Lake Worth 1701 Lake Worth Rd,26.6149907,-80.0661087,0,0,School Incidents,Killed: 0 Injured:0
831264,04/27/17,Arizona,Phoenix,7337 N 19th Ave,Arizona Phoenix 7337 N 19th Ave,33.5449806,-112.0969133,0,0,School Incidents,Killed: 0 Injured:0
829817,04/27/17,Texas,Austin,San Jacinto Blvd & E Dean Keeton St,Texas Austin San Jacinto Blvd & E Dean Keeton St,30.2893708,-97.7346033,0,0,School Incidents,Killed: 0 Injured:0
830491,04/27/17,Georgia,Sparks,1601 N Elm St,Georgia Sparks 1601 N Elm St,31.155132,-83.4383472,0,0,School Incidents,Killed: 0 Injured:0
831375,04/27/17,Kansas,Manhattan,2100 Poyntz Ave,Kansas Manhattan 2100 Poyntz Ave,39.1796331,-96.5915195,0,0,School Incidents,Killed: 0 Injured:0
